"Page","Section","Content Type","English Text","Vietnamese Text","Notes"
"Home Page","SEO Metadata","Page Title","Home","Trang chủ","Browser tab title"
"Home Page","SEO Metadata","Meta Description","HealthSyncX - People-first Systems Integration Consultancy for Healthcare, Beauty Tech, and diverse industries. Expert technology integration serving Vietnam & APAC Region.","HealthSyncX - Tư vấn Tích hợp Hệ thống Lấy Con người Làm trung tâm cho Y tế, Công nghệ Làm đẹp và các ngành công nghiệp đa dạng. Tích hợp công nghệ chuyên gia phục vụ Việt Nam & Khu vực APAC.","Search engine description (150-160 chars)"
"Home Page","Main Heading (H1)","Section Heading (H2)","Main Heading (H1)","Main Heading (H1)",""
"Home Page","Main Heading (H1)","Main Heading (H1)","People-first Systems Integration Consultancy","Tư vấn tích hợp hệ thống với trọng tâm là con người",""
"Home Page","Common Challenges Our Clients Face","Section Heading (H2)","Common Challenges Our Clients Face","Những thách thức mà khách hàng thường gặp",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Disconnected Systems","Hệ thống rời rạc, thiếu kết nối",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Critical data trapped in legacy tools that don't communicate.","Dữ liệu quan trọng bị giới hạn bởi các hệ thống cũ, không thể chia sẻ qua lại.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Unclear Return on Investment","Hiệu quả đầu tư khó đo lường",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Technology investments that look good on paper but never deliver measurable returns.","Đầu tư công nghệ trông có vẻ hiệu quả nhưng lại khó chứng minh được giá trị thực tế.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Workflow Friction","Quy trình vận hành thiếu mượt mà",""
"Home Page","Common Challenges Our Clients Face","Paragraph","New systems that disrupt how people actually work.","Hệ thống mới khiến nhân viên khó thích nghi và làm gián đoạn quy trình làm việc.",""
"Home Page","Common Challenges Our Clients Face","Subsection (H3)","Security & Compliance Risks","Rủi ro về bảo mật và tuân thủ quy định",""
"Home Page","Common Challenges Our Clients Face","Paragraph","Mounting regulatory pressure, from international to local data rules.","Áp lực từ các quy định trong nước và quốc tế ngày càng cao.",""
