"Page","Row #","Content Type","English Text","Vietnamese Text"
"Home Page","SEO-1","Page Title","Home","Trang chủ"
"Home Page","SEO-2","Meta Description","HealthSyncX - People-first Systems Integration Consultancy for Healthcare, Beauty Tech, and diverse industries. Expert technology integration serving Vietnam & APAC Region.","HealthSyncX - Tư vấn Tích hợp Hệ thống Lấy Con người Làm trung tâm cho Y tế, Công nghệ Làm đẹp và các ngành công nghiệp đa dạng. Tích hợp công nghệ chuyên gia phục vụ Việt Nam & Khu vực APAC."
"Home Page","3","Label/Badge","Building Healthcare Partnerships in Vietnam & APAC","Kết nối hợp tác y tế tại Việt Nam và khu vực Châu Á – Thái Bình Dương"
"Home Page","4","H1 Heading","People-first Systems Integration Consultancy","Tư vấn tích hợp hệ thống với trọng tâm là con người"
"Home Page","5","Paragraph","Transform your operations with seamless technology integration that puts people at the center. Expert guidance for healthcare, beauty tech, and diverse industry sectors.","Chuyển đổi hoạt động doanh nghiệp với các giải pháp tích hợp công nghệ linh hoạt, lấy con người làm trung tâm. HealthSyncX mang đến chuyên môn sâu trong lĩnh vực y tế, công nghệ làm đẹp và nhiều ngành khác."
"Home Page","6","Link/Button","Free 30-Minute Strategy Session","Đăng ký 30 phút tư vấn miễn phí"
"Home Page","7","Link/Button","View All Services","Xem tất cả dịch vụ"
"Home Page","8","H2 Heading","Common Challenges Our Clients Face","Những thách thức mà khách hàng thường gặp"
"Home Page","9","H3 Heading","Disconnected Systems","Hệ thống rời rạc, thiếu kết nối"
"Home Page","10","Paragraph","Critical data trapped in legacy tools that don't communicate.","Dữ liệu quan trọng bị giới hạn bởi các hệ thống cũ, không thể chia sẻ qua lại."
"Home Page","11","H3 Heading","Unclear Return on Investment","Hiệu quả đầu tư khó đo lường"
"Home Page","12","Paragraph","Technology investments that look good on paper but never deliver measurable returns.","Đầu tư công nghệ trông có vẻ hiệu quả nhưng lại khó chứng minh được giá trị thực tế."
"Home Page","13","H3 Heading","Workflow Friction","Quy trình vận hành thiếu mượt mà"
"Home Page","14","Paragraph","New systems that disrupt how people actually work.","Hệ thống mới khiến nhân viên khó thích nghi và làm gián đoạn quy trình làm việc."
"Home Page","15","H3 Heading","Security & Compliance Risks","Rủi ro về bảo mật và tuân thủ quy định"
"Home Page","16","Paragraph","Mounting regulatory pressure, from international to local data rules.","Áp lực từ các quy định trong nước và quốc tế ngày càng cao."
"Home Page","17","H3 Heading","Resistance to Change","Tâm lý ngại thay đổi công nghệ"
"Home Page","18","Paragraph","Teams overwhelmed by too many tools, too little training.","Nhân viên bị quá tải vì có quá nhiều công cụ nhưng lại thiếu hướng dẫn và đào tạo."
"Home Page","19","H3 Heading","Vendor Lock-In","Phụ thuộc vào nhà cung cấp"
"Home Page","20","Paragraph","Locked into systems that limit flexibility and innovation.","Bị ràng buộc về hệ thống với nhà cung cấp cũ nên thiếu linh hoạt, khó đổi mới."
"Home Page","21","H2 Heading","Who We Support","Đối tượng khách hàng của chúng tôi"
"Home Page","22","Paragraph","Whether you're a small business taking your first steps toward digital transformation or a large enterprise managing complex multi-system environments, HealthSyncX helps you move forward with confidence.","Dù bạn là doanh nghiệp nhỏ mới bắt đầu hành trình chuyển đổi số hay tập đoàn lớn đang vận hành nhiều hệ thống phức tạp, HealthSyncX sẽ đồng hành giúp bạn tiến bước vững chắc."
"Home Page","23","H3 Heading","Small and Mid-Sized Businesses","Doanh nghiệp vừa và nhỏ"
"Home Page","24","Paragraph","You want modern tools that simplify operations without draining budgets or disrupting daily work.","Bạn cần các công cụ hiện đại giúp đơn giản hóa quy trình vận hành mà vẫn tiết kiệm chi phí và không ảnh hưởng đến công việc hàng ngày."
"Home Page","25","Paragraph","HealthSyncX delivers scalable, right-sized integration — connecting your devices, data, and workflows so you can compete like a larger player while staying agile and cost-efficient.","HealthSyncX mang đến giải pháp tích hợp phù hợp với quy mô của bạn — kết nối thiết bị, dữ liệu và quy trình để doanh nghiệp vận hành linh hoạt, hiệu quả và đủ sức cạnh tranh với các đối thủ lớn hơn."
"Home Page","26","H3 Heading","Large Enterprises","Doanh nghiệp lớn"
"Home Page","27","Paragraph","You face the opposite problems: too many systems, too much data, and teams that don't always align.","Doanh nghiệp của bạn thường gặp các vấn đề ngược lại: có quá nhiều hệ thống, dữ liệu phân tán và các bộ phận khó phối hợp đồng bộ."
"Home Page","28","Paragraph","We help unify legacy and modern platforms, improve interoperability across departments, and create visibility and compliance without slowing innovation.","Chúng tôi giúp đồng bộ hệ thống cũ và mới, tăng khả năng kết nối giữa các phòng ban, đảm bảo minh bạch và tuân thủ quy định mà vẫn giữ nhịp đổi mới."
