Page,Section,English,Vietnamese,Notes

Landing,Heading,Welcome,Welcome,
Landing,Button 1,English,English,
Landing,Button 2,Tiếng Việt,Tiếng Việt,
Landing,Tagline,Based in Vietnam & New Zealand | Serving APAC Region,Based in Vietnam & New Zealand | Serving APAC Region,

Home,Text,Building Healthcare Partnerships in Vietnam & APAC,Xây dựng Quan hệ Đối tác Y tế tại Việt Nam & APAC,
Home,Heading,People-first Systems Integration Consultancy,Tư vấn Tích hợp Hệ thống Lấy Con người Làm Trung tâm,
Home,Paragraph,"Transform your operations with seamless technology integration that puts people at the center. Expert guidance for healthcare, beauty tech, and diverse industry sectors.","Chuyển đổi hoạt động với tích hợp công nghệ liền mạch đặt con người làm trung tâm. Hướng dẫn chuyên môn cho y tế, công nghệ làm đẹp và các lĩnh vực đa dạng.",
Home,Heading 2,Get Free 30-Min Consultation,Nhận Tư vấn Miễn phí 30 Phút,
Home,Heading 3,View All Services,Xem Tất cả Dịch vụ,
Home,Heading 4,Common Challenges Our Clients Face,Những Thách thức Phổ biến Khách hàng Gặp phải,
Home,Heading 5,Disconnected Systems,Hệ thống Không Kết nối,
Home,Text 2,Critical data trapped in legacy tools that don't communicate.,Dữ liệu quan trọng bị mắc kẹt trong các công cụ cũ không giao tiếp được với nhau.,
Home,Heading 6,Unclear Return on Investment,Lợi Tức Đầu Tư Không Rõ ràng,
Home,Text 3,Technology investments that look good on paper but never deliver measurable returns.,Đầu tư công nghệ trông tốt trên giấy nhưng không bao giờ mang lại lợi nhuận có thể đo lường được.,
Home,Heading 7,Workflow Friction,Ma sát Quy trình Làm việc,
Home,Text 4,New systems that disrupt how people actually work.,Hệ thống mới làm gián đoạn cách mọi người thực sự làm việc.,
Home,Heading 8,Security & Compliance Risks,Rủi ro Bảo mật & Tuân thủ,
Home,Text 5,"Mounting regulatory pressure, from international to local data rules.","Áp lực quy định ngày càng tăng, từ quy tắc dữ liệu quốc tế đến địa phương.",
Home,Heading 9,Resistance to Change,Kháng cự Thay đổi,
Home,Text 6,"Teams overwhelmed by too many tools, too little training.","Các nhóm bị quá tải bởi quá nhiều công cụ, quá ít đào tạo.",
Home,Heading 10,Vendor Lock-In,Bị Khóa với Nhà cung cấp,
Home,Text 7,Locked into systems that limit flexibility and innovation.,Bị khóa vào các hệ thống hạn chế tính linh hoạt và đổi mới.,
Home,Heading 11,Who We Support,Chúng tôi Hỗ trợ Ai,
Home,Paragraph 2,"Whether you're a small business taking your first steps toward digital transformation or a large enterprise managing complex multi-system environments, HealthSyncX helps you move forward with confidence.","Dù bạn là một doanh nghiệp nhỏ đang thực hiện những bước đầu tiên hướng tới chuyển đổi số hay một doanh nghiệp lớn quản lý môi trường đa hệ thống phức tạp, HealthSyncX giúp bạn tiến lên với sự tự tin.",
Home,Heading 12,For Small and Mid-Sized Businesses,Dành cho Doanh nghiệp Vừa và Nhỏ,
Home,Button/Link,You want modern tools that simplify operations without draining budgets or disrupting daily work.,Bạn muốn các công cụ hiện đại giúp đơn giản hóa hoạt động mà không làm cạn kiệt ngân sách hoặc gián đoạn công việc hàng ngày.,
Home,Paragraph 3,"HealthSyncX delivers scalable, right-sized integration — connecting your devices, data, and workflows so you can compete like a larger player while staying agile and cost-efficient.","HealthSyncX cung cấp tích hợp có thể mở rộng, phù hợp quy mô — kết nối thiết bị, dữ liệu và quy trình làm việc của bạn để bạn có thể cạnh tranh như một công ty lớn hơn trong khi vẫn linh hoạt và tiết kiệm chi phí.",
Home,Heading 13,For Large Enterprises,Dành cho Doanh nghiệp Lớn,
Home,Text 8,"You face the opposite problems: too many systems, too much data, and teams that don't always align.","Bạn đối mặt với các vấn đề ngược lại: quá nhiều hệ thống, quá nhiều dữ liệu và các nhóm không phải lúc nào cũng phối hợp nhịp nhàng.",
Home,Paragraph 4,"We help unify legacy and modern platforms, improve interoperability across departments, and create visibility and compliance without slowing innovation.","Chúng tôi giúp thống nhất các nền tảng cũ và hiện đại, cải thiện khả năng tương tác giữa các phòng ban, tạo khả năng hiển thị và tuân thủ mà không làm chậm sự đổi mới.",
Home,Heading 14,For Industry Leaders and Innovators,Dành cho Lãnh đạo Ngành và Nhà Đổi mới,
Home,Paragraph 5,If you build the technologies others depend on — from medical devices to educational platforms — HealthSyncX can be your local integration and deployment partner in Vietnam and across the Asia-Pacific.,Nếu bạn xây dựng các công nghệ mà người khác phụ thuộc vào — từ thiết bị y tế đến nền tảng giáo dục — HealthSyncX có thể trở thành đối tác tích hợp và triển khai địa phương của bạn tại Việt Nam và khắp khu vực Châu Á - Thái Bình Dương.,
Home,Text 9,"We ensure your solutions reach real-world users efficiently, securely, and at scale.","Chúng tôi đảm bảo các giải pháp của bạn tiếp cận người dùng thực tế một cách hiệu quả, an toàn và quy mô lớn.",
Home,Heading 15,Why Choose Us?,Tại sao Chọn Chúng tôi?,
Home,Paragraph 6,"Every organization feels the pressure to modernize — yet too often, the result is complexity instead of clarity. New tools don't connect. Data lives in silos. Teams resist change. Projects drag on with no clear Return on Investment.","Mọi tổ chức đều cảm thấy áp lực phải hiện đại hóa — nhưng quá thường xuyên, kết quả là sự phức tạp thay vì rõ ràng. Các công cụ mới không kết nối. Dữ liệu tồn tại trong các hệ thống riêng lẻ. Các nhóm kháng cự thay đổi. Dự án kéo dài mà không có Lợi Tức Đầu Tư rõ ràng.",
Home,Text 10,"At HealthSyncX, we help you make technology work for people — not the other way around.","Tại HealthSyncX, chúng tôi giúp bạn làm cho công nghệ phục vụ con người — chứ không phải ngược lại.",
