Page,Section,English,Vietnamese,Notes
,,,,
Landing,Heading,Welcome,Welcome,
Landing,Button 1,English,English,
Landing,Button 2,Tiếng Việt,Tiếng Việt,
Landing,Tagline,Based in Vietnam & New Zealand | Serving APAC Region,Based in Vietnam & New Zealand | Serving APAC Region,
,,,,
Home,Text,Building Healthcare Partnerships in Vietnam & APAC,Kết nối hợp tác y tế tại Việt Nam và khu vực Châu Á – Thái Bình Dương,
Home,Heading,People-first Systems Integration Consultancy,Tư vấn tích hợp hệ thống với trọng tâm là con người,
Home,Paragraph,"Transform your operations with seamless technology integration that puts people at the center. Expert guidance for healthcare, beauty tech, and diverse industry sectors.","Chuyển đổi hoạt động doanh nghiệp với các giải pháp tích hợp công nghệ linh hoạt, lấy con người làm trung tâm. HealthSyncX mang đến chuyên môn sâu cho các lĩnh vực y tế, công nghệ làm đẹp và nhiều ngành khác.",
Home,Heading 2,Free 30-Minute Strategy Session,Đăng ký 30 phút tư vấn miễn phí,
Home,Heading 3,View All Services,Xem tất cả dịch vụ,
Home,Heading 4,Common Challenges Our Clients Face,Những thách thức mà khách hàng thường gặp,
Home,Heading 5,Disconnected Systems,"Hệ thống rời rạc, thiếu kết nối",
Home,Text 2,Critical data trapped in legacy tools that don't communicate.,"Dữ liệu quan trọng bị mắc kẹt trong các hệ thống cũ, không thể chia sẻ qua lại.",
Home,Heading 6,Unclear Return on Investment,Hiệu quả đầu tư khó đo lường,
Home,Text 3,Technology investments that look good on paper but never deliver measurable returns.,Đầu tư công nghệ trông có vẻ hiệu quả nhưng lại khó chứng minh được giá trị thực tế.,
Home,Heading 7,Workflow Friction,Quy trình vận hành thiếu mượt mà,
Home,Text 4,New systems that disrupt how people actually work.,Hệ thống mới khiến nhân viên khó thích nghi và làm gián đoạn quy trình làm việc.,
Home,Heading 8,Security & Compliance Risks,Rủi ro về bảo mật và tuân thủ quy định,
Home,Text 5,"Mounting regulatory pressure, from international to local data rules.",Áp lực từ các quy định trong nước và quốc tế ngày càng cao.,
Home,Heading 9,Resistance to Change,Tâm lý ngại thay đổi công nghệ,
Home,Text 6,"Teams overwhelmed by too many tools, too little training.",Nhân viên bị quá tải vì có quá nhiều công cụ nhưng lại thiếu hướng dẫn và đào tạo.,
Home,Heading 10,Vendor Lock-In,Phụ thuộc vào nhà cung cấp,
Home,Text 7,Locked into systems that limit flexibility and innovation.,"Bị ràng buộc về hệ thống với nhà cung cấp cũ nên thiếu linh hoạt, khó đổi mới.",
Home,Heading 11,Who We Support,Đối tượng khách hàng của chúng tôi,
Home,Paragraph 2,"Whether you're a small business taking your first steps toward digital transformation or a large enterprise managing complex multi-system environments, HealthSyncX helps you move forward with confidence.","Dù bạn là doanh nghiệp nhỏ mới bắt đầu hành trình chuyển đổi số hay tập đoàn lớn đang vận hành nhiều hệ thống phức tạp, HealthSyncX sẽ đồng hành giúp bạn tiến bước vững chắc.",
Home,Heading 12,Small and Mid-Sized Businesses,Doanh nghiệp vừa và nhỏ,
Home,Button/Link,You want modern tools that simplify operations without draining budgets or disrupting daily work.,Bạn cần các công cụ hiện đại giúp đơn giản hóa quy trình vận hành mà vẫn tiết kiệm chi phí và không ảnh hưởng đến công việc hàng ngày.,
Home,Paragraph 3,"HealthSyncX delivers scalable, right-sized integration — connecting your devices, data, and workflows so you can compete like a larger player while staying agile and cost-efficient.","HealthSyncX mang đến giải pháp tích hợp phù hợp với quy mô của bạn — kết nối thiết bị, dữ liệu và quy trình để doanh nghiệp vận hành linh hoạt, hiệu quả và đủ sức cạnh tranh với các đối thủ lớn hơn.",
Home,Heading 13,Large Enterprises,Doanh nghiệp lớn,
Home,Text 8,"You face the opposite problems: too many systems, too much data, and teams that don't always align.","Doanh nghiệp của bạn thường gặp các vấn đề ngược lại: có quá nhiều hệ thống, dữ liệu phân tán và các bộ phận khó phối hợp đồng bộ.",
Home,Paragraph 4,"We help unify legacy and modern platforms, improve interoperability across departments, and create visibility and compliance without slowing innovation.","Chúng tôi giúp đồng bộ hệ thống cũ và mới, tăng khả năng kết nối giữa các phòng ban, đảm bảo minh bạch và tuân thủ mà vẫn giữ nhịp đổi mới.",
Home,Heading 14,Industry Leaders and Innovators,Dành cho các nhà lãnh đạo và đơn vị đổi mới,
Home,Paragraph 5,If you build the technologies others depend on — from medical devices to educational platforms — HealthSyncX can be your local integration and deployment partner in Vietnam and across the Asia-Pacific.,Nếu bạn phát triển các giải pháp công nghệ mà nhiều người cần — từ thiết bị y tế đến nền tảng giáo dục — HealthSyncX là đối tác tích hợp và triển khai đáng tin cậy của bạn tại Việt Nam và khu vực Châu Á – Thái Bình Dương.,
Home,Text 9,"We ensure your solutions reach real-world users efficiently, securely, and at scale.","Chúng tôi giúp giải pháp của bạn được triển khai đến người dùng thực tế một cách an toàn, hiệu quả và có thể mở rộng.",
Home,Heading 15,Why Choose Us,Vì sao chọn HealthSyncX,
Home,Subtitle,Integration that Delivers Measurable Results,"Giải pháp tích hợp mang lại giá trị thực, có thể đo lường",Subtitle added under main heading
Home,Intro Text,"At HealthSyncX, integration isn't just about connecting systems — it's about unlocking measurable value across every part of your business:","Với HealthSyncX, tích hợp không chỉ là kết nối hệ thống — mà còn là mở khóa cho việc mang lại giá trị thực ở nhiều mặt cho doanh nghiệp của bạn.",Introduction to statistics section
Home,Statistic 1,3.2x Return on Investment for each $1 invested in interoperability and workflow integration.,"Đem lại lợi nhuận gấp 3,2 lần cho mỗi 1 USD đầu tư vào tích hợp và tối ưu quy trình.",Green checkmark icon + orange numbers (3.2x and $1) + bold text
Home,Statistic 2,25 – 35% average operational cost reduction within 18 months.,Giảm trung bình 25 – 35% chi phí vận hành chỉ sau 18 tháng.,Green checkmark icon + orange number (25 – 35%) + bold text
Home,Statistic 3,45% time savings in documentation and repetitive tasks.,Tiết kiệm 45% thời gian cho các công việc hành chính và thao tác lặp lại.,Green checkmark icon + orange number (45%) + bold text
